,trial__id,race,struck_state,defendant_race,same_race,struck_by
0,4,Black,1,White,different race,Juror chosen to serve on jury
1,4,Black,0,White,different race,Struck by the state
2,4,White,1,White,same race,Juror chosen to serve on jury
3,4,White,1,White,same race,Struck by the defense
4,4,Black,0,White,different race,Struck by the state
5,4,White,1,White,same race,Juror chosen to serve on jury
6,4,Black,0,White,different race,Struck by the state
7,4,White,1,White,same race,Struck by the defense
8,4,White,1,White,same race,Juror chosen to serve on jury
9,4,White,1,White,same race,Struck by the defense
10,4,White,1,White,same race,Juror chosen to serve on jury
11,4,White,1,White,same race,Struck by the defense
12,301,Black,0,Black,same race,Struck by the state
13,5,Black,1,Black,same race,Juror chosen to serve on jury
14,5,Black,1,Black,same race,Juror chosen to serve on jury
15,5,White,1,Black,different race,Struck by the defense
16,5,Black,0,Black,same race,Struck by the state
17,5,White,1,Black,different race,Juror chosen to serve on jury
18,5,Black,0,Black,same race,Struck by the state
19,5,White,1,Black,different race,Struck by the defense
20,5,Black,1,Black,same race,Juror chosen to serve on jury
21,5,Black,1,Black,same race,Juror chosen to serve on jury
22,5,White,1,Black,different race,Juror chosen to serve on jury
23,5,White,1,Black,different race,Juror chosen to serve on jury
24,5,White,1,Black,different race,Juror chosen to serve on jury
25,5,White,0,Black,different race,Struck by the state
26,6,White,0,White,same race,Struck by the state
27,7,Black,0,White,different race,Struck by the state
28,7,White,1,White,same race,Juror chosen to serve on jury
29,7,White,0,White,same race,Struck by the state
30,269,Black,0,Black,same race,Struck by the state
31,8,Black,0,Black,same race,Struck by the state
32,7,White,1,White,same race,Struck by the defense
33,301,Black,1,Black,same race,Struck by the defense
34,102,White,1,Black,different race,Juror chosen to serve on jury
35,36,Black,1,White,different race,Struck by the defense
36,58,White,1,Black,different race,Juror chosen as alternate
37,161,White,1,Black,different race,Struck by the defense
38,161,White,1,Black,different race,Struck by the defense
39,161,Black,1,Black,same race,Juror chosen to serve on jury
40,161,Black,1,Black,same race,Juror chosen to serve on jury
41,161,Black,0,Black,same race,Struck by the state
42,161,Black,1,Black,same race,Juror chosen to serve on jury
43,161,White,1,Black,different race,Struck by the defense
44,161,Black,1,Black,same race,Juror chosen to serve on jury
45,161,Black,1,Black,same race,Juror chosen to serve on jury
46,161,White,0,Black,different race,Struck by the state
47,161,Black,1,Black,same race,Juror chosen to serve on jury
48,161,Black,0,Black,same race,Struck by the state
49,161,Black,1,Black,same race,Juror chosen to serve on jury
50,161,Black,1,Black,same race,Juror chosen to serve on jury
51,161,White,1,Black,different race,Juror chosen as alternate
52,22,White,1,Black,different race,Juror chosen to serve on jury
53,22,White,1,Black,different race,Juror chosen to serve on jury
54,166,White,1,Black,different race,Juror chosen to serve on jury
55,166,Black,0,Black,same race,Struck by the state
56,166,Black,0,Black,same race,Struck by the state
57,166,White,1,Black,different race,Juror chosen to serve on jury
58,166,Black,1,Black,same race,Juror chosen to serve on jury
59,166,Black,0,Black,same race,Struck by the state
60,166,White,1,Black,different race,Juror chosen to serve on jury
61,166,White,1,Black,different race,Juror chosen to serve on jury
62,59,Black,0,Black,same race,Struck by the state
63,59,White,1,Black,different race,Juror chosen to serve on jury
64,59,White,0,Black,different race,Struck by the state
65,59,Black,0,Black,same race,Struck by the state
66,59,White,1,Black,different race,Juror chosen as alternate
67,71,Black,1,Black,same race,Juror chosen as alternate
68,71,Black,0,Black,same race,Struck by the state
69,71,Black,0,Black,same race,Struck by the state
70,71,White,1,Black,different race,Struck by the defense
71,71,White,1,Black,different race,Juror chosen to serve on jury
72,71,Black,1,Black,same race,Juror chosen to serve on jury
73,71,White,1,Black,different race,Struck by the defense
74,71,White,1,Black,different race,Juror chosen to serve on jury
75,71,White,1,Black,different race,Struck by the defense
76,71,Black,0,Black,same race,Struck by the state
77,71,Black,1,Black,same race,Juror chosen to serve on jury
78,71,White,1,Black,different race,Juror chosen to serve on jury
79,71,Black,0,Black,same race,Struck by the state
80,71,White,1,Black,different race,Juror chosen to serve on jury
81,71,Black,0,Black,same race,Struck by the state
82,71,White,1,Black,different race,Struck by the defense
83,71,Black,0,Black,same race,Struck by the state
84,71,White,1,Black,different race,Struck by the defense
85,71,White,1,Black,different race,Juror chosen to serve on jury
86,71,Black,1,Black,same race,Juror chosen to serve on jury
87,237,Black,0,Black,same race,Struck by the state
88,237,Black,1,Black,same race,Juror chosen to serve on jury
89,237,Black,1,Black,same race,Juror chosen to serve on jury
90,237,Black,0,Black,same race,Struck by the state
91,237,Black,1,Black,same race,Juror chosen to serve on jury
92,237,Black,0,Black,same race,Struck by the state
93,170,White,1,White,same race,Juror chosen to serve on jury
94,170,White,1,White,same race,Juror chosen to serve on jury
95,170,Black,1,White,different race,Juror chosen to serve on jury
96,170,Black,0,White,different race,Struck by the state
97,170,White,1,White,same race,Juror chosen to serve on jury
98,170,White,1,White,same race,Struck by the defense
99,170,Black,1,White,different race,Struck by the defense
100,170,Black,1,White,different race,Juror chosen to serve on jury
101,170,White,1,White,same race,Juror chosen to serve on jury
102,170,Black,1,White,different race,Juror chosen to serve on jury
103,170,Black,1,White,different race,Juror chosen to serve on jury
104,170,White,1,White,same race,Struck by the defense
105,170,White,1,White,same race,Juror chosen to serve on jury
106,170,White,0,White,same race,Struck by the state
107,170,White,1,White,same race,Struck by the defense
108,170,White,1,White,same race,Struck by the defense
109,170,Black,0,White,different race,Struck by the state
110,170,White,1,White,same race,Juror chosen to serve on jury
111,170,Black,0,White,different race,Struck by the state
112,170,Black,0,White,different race,Struck by the state
113,170,White,1,White,same race,Struck by the defense
114,4,Black,1,White,different race,Juror chosen to serve on jury
115,38,White,1,Black,different race,Juror chosen to serve on jury
116,38,White,1,Black,different race,Struck by the defense
117,38,White,1,Black,different race,Struck by the defense
118,38,White,1,Black,different race,Struck by the defense
119,38,White,1,Black,different race,Struck by the defense
120,38,White,1,Black,different race,Struck by the defense
121,38,White,0,Black,different race,Struck by the state
122,38,White,1,Black,different race,Struck by the defense
123,38,White,1,Black,different race,Juror chosen to serve on jury
124,38,White,1,Black,different race,Juror chosen to serve on jury
125,38,White,1,Black,different race,Juror chosen to serve on jury
126,38,White,0,Black,different race,Struck by the state
127,38,White,1,Black,different race,Struck by the defense
128,38,White,1,Black,different race,Struck by the defense
129,38,White,1,Black,different race,Struck by the defense
